,<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
3164,SPFB.RTS-12.18,1,13/09/18,11:17,106950.0,106950.0,106940.0,106940.0,78
3165,SPFB.RTS-12.18,1,13/09/18,11:18,106890.0,106890.0,106880.0,106880.0,31
3166,SPFB.RTS-12.18,1,13/09/18,11:19,106870.0,106890.0,106870.0,106890.0,14
3167,SPFB.RTS-12.18,1,13/09/18,11:20,106870.0,106900.0,106870.0,106900.0,3
3168,SPFB.RTS-12.18,1,13/09/18,11:22,106920.0,106920.0,106910.0,106910.0,11
3169,SPFB.RTS-12.18,1,13/09/18,11:23,106900.0,106950.0,106900.0,106950.0,8
3170,SPFB.RTS-12.18,1,13/09/18,11:24,106950.0,106950.0,106930.0,106930.0,38
3171,SPFB.RTS-12.18,1,13/09/18,11:26,106900.0,106910.0,106890.0,106910.0,22
3172,SPFB.RTS-12.18,1,13/09/18,11:28,106900.0,106900.0,106900.0,106900.0,2
3173,SPFB.RTS-12.18,1,13/09/18,11:29,106890.0,106930.0,106890.0,106890.0,89
3174,SPFB.RTS-12.18,1,13/09/18,11:30,106890.0,106890.0,106870.0,106870.0,93
3175,SPFB.RTS-12.18,1,13/09/18,11:33,106860.0,106860.0,106860.0,106860.0,3
3176,SPFB.RTS-12.18,1,13/09/18,11:34,106890.0,106910.0,106890.0,106910.0,6
3177,SPFB.RTS-12.18,1,13/09/18,11:35,106900.0,106910.0,106900.0,106910.0,24
3178,SPFB.RTS-12.18,1,13/09/18,11:36,106940.0,106940.0,106930.0,106930.0,2
3179,SPFB.RTS-12.18,1,13/09/18,11:37,106960.0,106970.0,106930.0,106940.0,40
3180,SPFB.RTS-12.18,1,13/09/18,11:38,106920.0,106920.0,106920.0,106920.0,1
3181,SPFB.RTS-12.18,1,13/09/18,11:39,106910.0,106910.0,106910.0,106910.0,1
3182,SPFB.RTS-12.18,1,13/09/18,11:40,106900.0,106900.0,106880.0,106880.0,7
3183,SPFB.RTS-12.18,1,13/09/18,11:41,106860.0,106880.0,106820.0,106820.0,8
3184,SPFB.RTS-12.18,1,13/09/18,11:42,106830.0,106830.0,106830.0,106830.0,3
3185,SPFB.RTS-12.18,1,13/09/18,11:43,106900.0,106920.0,106900.0,106920.0,21
3186,SPFB.RTS-12.18,1,13/09/18,11:44,106910.0,106910.0,106910.0,106910.0,1
3187,SPFB.RTS-12.18,1,13/09/18,11:45,106950.0,106950.0,106950.0,106950.0,1
3188,SPFB.RTS-12.18,1,13/09/18,11:46,106960.0,107150.0,106960.0,107140.0,259
3189,SPFB.RTS-12.18,1,13/09/18,11:47,107110.0,107120.0,107080.0,107100.0,115
3190,SPFB.RTS-12.18,1,13/09/18,11:48,107110.0,107110.0,107070.0,107070.0,2
3191,SPFB.RTS-12.18,1,13/09/18,11:49,107060.0,107070.0,107040.0,107070.0,14
3192,SPFB.RTS-12.18,1,13/09/18,11:50,107090.0,107090.0,107050.0,107070.0,15
3193,SPFB.RTS-12.18,1,13/09/18,11:51,107070.0,107070.0,107020.0,107050.0,41
3194,SPFB.RTS-12.18,1,13/09/18,11:52,107050.0,107050.0,107030.0,107030.0,4
3195,SPFB.RTS-12.18,1,13/09/18,11:53,107040.0,107040.0,107020.0,107020.0,2
3196,SPFB.RTS-12.18,1,13/09/18,11:54,107060.0,107140.0,107060.0,107110.0,34
3197,SPFB.RTS-12.18,1,13/09/18,11:55,107130.0,107130.0,107090.0,107090.0,2
3198,SPFB.RTS-12.18,1,13/09/18,11:56,107120.0,107130.0,107090.0,107120.0,16
3199,SPFB.RTS-12.18,1,13/09/18,11:57,107140.0,107150.0,107090.0,107090.0,15
3200,SPFB.RTS-12.18,1,13/09/18,11:58,107090.0,107090.0,107090.0,107090.0,1
3201,SPFB.RTS-12.18,1,13/09/18,11:59,107090.0,107090.0,107050.0,107060.0,3
3202,SPFB.RTS-12.18,1,13/09/18,12:00,107040.0,107040.0,107010.0,107030.0,45
3203,SPFB.RTS-12.18,1,13/09/18,12:01,107020.0,107140.0,107020.0,107130.0,32
3204,SPFB.RTS-12.18,1,13/09/18,12:02,107100.0,107110.0,107100.0,107100.0,3
3205,SPFB.RTS-12.18,1,13/09/18,12:03,107140.0,107310.0,107140.0,107290.0,124
3206,SPFB.RTS-12.18,1,13/09/18,12:04,107310.0,107310.0,107280.0,107290.0,147
3207,SPFB.RTS-12.18,1,13/09/18,12:05,107270.0,107270.0,107270.0,107270.0,2
3208,SPFB.RTS-12.18,1,13/09/18,12:06,107260.0,107290.0,107260.0,107290.0,8
3209,SPFB.RTS-12.18,1,13/09/18,12:07,107310.0,107390.0,107310.0,107340.0,62
3210,SPFB.RTS-12.18,1,13/09/18,12:08,107310.0,107340.0,107300.0,107340.0,44
3211,SPFB.RTS-12.18,1,13/09/18,12:09,107340.0,107340.0,107310.0,107310.0,38
3212,SPFB.RTS-12.18,1,13/09/18,12:10,107300.0,107320.0,107290.0,107320.0,26
3213,SPFB.RTS-12.18,1,13/09/18,12:11,107330.0,107340.0,107300.0,107300.0,32
3214,SPFB.RTS-12.18,1,13/09/18,12:12,107300.0,107370.0,107300.0,107350.0,16
3215,SPFB.RTS-12.18,1,13/09/18,12:13,107340.0,107350.0,107340.0,107350.0,152
3216,SPFB.RTS-12.18,1,13/09/18,12:14,107380.0,107380.0,107370.0,107370.0,5
3217,SPFB.RTS-12.18,1,13/09/18,12:15,107380.0,107410.0,107380.0,107400.0,55
3218,SPFB.RTS-12.18,1,13/09/18,12:16,107380.0,107380.0,107330.0,107350.0,75
3219,SPFB.RTS-12.18,1,13/09/18,12:17,107400.0,107400.0,107340.0,107340.0,14
3220,SPFB.RTS-12.18,1,13/09/18,12:18,107330.0,107330.0,107330.0,107330.0,2
3221,SPFB.RTS-12.18,1,13/09/18,12:19,107320.0,107330.0,107310.0,107310.0,13
3222,SPFB.RTS-12.18,1,13/09/18,12:20,107370.0,107390.0,107370.0,107390.0,5
3223,SPFB.RTS-12.18,1,13/09/18,12:21,107350.0,107350.0,107310.0,107310.0,6
3224,SPFB.RTS-12.18,1,13/09/18,12:22,107310.0,107310.0,107270.0,107280.0,40
3225,SPFB.RTS-12.18,1,13/09/18,12:23,107280.0,107290.0,107250.0,107260.0,12
3226,SPFB.RTS-12.18,1,13/09/18,12:24,107260.0,107270.0,107250.0,107250.0,65
3227,SPFB.RTS-12.18,1,13/09/18,12:25,107200.0,107200.0,107170.0,107180.0,54
3228,SPFB.RTS-12.18,1,13/09/18,12:26,107150.0,107190.0,107110.0,107170.0,12
3229,SPFB.RTS-12.18,1,13/09/18,12:27,107170.0,107180.0,107170.0,107180.0,6
3230,SPFB.RTS-12.18,1,13/09/18,12:28,107190.0,107200.0,107190.0,107190.0,4
3231,SPFB.RTS-12.18,1,13/09/18,12:29,107160.0,107160.0,107130.0,107130.0,13
3232,SPFB.RTS-12.18,1,13/09/18,12:30,107130.0,107150.0,107130.0,107150.0,6
